,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
12087,Female,45,1,28,0,1-2 Year,Yes,42345,26,31,1
18568,Female,24,1,39,0,1-2 Year,Yes,21087,156,270,0
59536,Female,55,1,28,0,1-2 Year,No,37726,26,259,0
17877,Female,24,1,11,1,< 1 Year,No,24107,152,249,0
34773,Male,21,1,8,1,< 1 Year,No,29632,160,175,0
46634,Female,50,1,28,0,1-2 Year,Yes,49239,122,125,0
19302,Male,54,1,41,0,1-2 Year,No,25719,26,237,0
12407,Female,61,1,28,0,1-2 Year,Yes,31237,26,296,1
8919,Male,84,1,28,1,< 1 Year,No,73510,152,74,0
42190,Male,25,1,7,1,< 1 Year,No,37548,152,190,0
10169,Male,41,1,28,0,1-2 Year,Yes,45660,124,191,0
64165,Female,46,1,47,0,> 2 Years,Yes,24765,157,23,0
24508,Female,42,1,28,0,1-2 Year,No,26316,26,216,0
15678,Female,38,1,28,0,1-2 Year,Yes,33359,151,265,1
5463,Female,44,1,28,0,> 2 Years,Yes,28364,124,29,1
16909,Female,21,1,25,1,< 1 Year,No,24647,160,181,0
7267,Male,43,1,12,1,1-2 Year,No,22450,26,232,0
23075,Male,46,1,47,0,1-2 Year,Yes,42494,124,254,0
19403,Male,51,1,28,0,1-2 Year,Yes,48286,26,206,1
3263,Female,68,1,37,1,1-2 Year,No,38960,122,95,0
6079,Male,48,1,28,0,1-2 Year,Yes,23081,124,56,0
8732,Male,46,1,28,0,1-2 Year,Yes,38554,124,86,0
15353,Male,63,1,48,0,1-2 Year,Yes,2630,15,72,0
43068,Female,54,1,15,1,1-2 Year,No,2630,152,31,0
21867,Male,22,1,45,0,< 1 Year,Yes,43124,152,76,1
19141,Male,49,1,3,0,1-2 Year,Yes,42486,124,238,1
26597,Male,51,1,47,0,1-2 Year,Yes,25507,4,191,0
40270,Female,25,1,11,1,< 1 Year,No,45073,152,184,0
44449,Male,48,1,8,1,1-2 Year,No,2630,122,251,0
64966,Male,46,1,28,0,> 2 Years,Yes,56393,26,131,1
47852,Female,44,1,28,0,1-2 Year,Yes,34595,122,65,0
49076,Female,23,1,2,0,< 1 Year,Yes,34516,152,173,0
55435,Male,24,1,28,1,< 1 Year,No,32021,152,155,0
63374,Female,22,1,8,1,< 1 Year,No,41134,152,37,0
35628,Male,41,1,8,1,1-2 Year,No,31834,26,140,0
51618,Male,23,1,36,0,< 1 Year,No,28130,152,69,0
7065,Male,37,1,28,0,1-2 Year,Yes,43314,61,49,0
30204,Male,43,1,46,0,1-2 Year,Yes,32180,124,74,1
38069,Female,46,1,41,0,1-2 Year,Yes,36911,26,2899,1
59100,Female,60,1,7,0,1-2 Year,Yes,2630,157,83,1
34987,Female,26,1,50,1,< 1 Year,No,32095,152,42,0
26434,Female,37,1,11,1,1-2 Year,Yes,50702,124,165,0
30629,Male,29,1,30,1,< 1 Year,No,39112,152,39,0
29569,Male,23,1,46,1,< 1 Year,No,30867,152,204,0
20655,Female,25,1,37,0,< 1 Year,Yes,21046,152,227,0
23995,Female,25,1,41,1,< 1 Year,No,40071,152,219,0
39067,Male,60,1,35,1,1-2 Year,No,24163,152,221,0
60368,Female,57,1,28,0,1-2 Year,Yes,45476,26,196,1
53438,Female,23,1,37,0,< 1 Year,Yes,29859,152,251,0
61714,Female,22,1,15,0,< 1 Year,Yes,42255,152,169,0
46095,Female,25,1,8,1,< 1 Year,No,34140,152,29,0
51559,Female,23,1,29,1,< 1 Year,No,31677,152,246,0
60303,Male,25,1,7,1,< 1 Year,No,2630,152,121,0
50295,Female,55,1,26,1,1-2 Year,No,27248,22,106,0
4112,Female,78,1,46,0,1-2 Year,Yes,28566,26,23,0
48794,Male,23,1,46,1,< 1 Year,No,23009,152,159,0
43098,Male,59,1,47,0,1-2 Year,Yes,44113,16,121,0
19282,Male,22,1,28,1,< 1 Year,No,37258,152,255,0
31539,Male,69,1,28,0,> 2 Years,Yes,53823,26,299,0
55695,Female,23,1,15,0,< 1 Year,Yes,30842,152,150,0
44280,Male,46,1,8,1,1-2 Year,No,36214,124,42,0
45156,Male,46,1,46,1,1-2 Year,No,30169,124,222,0
14902,Male,24,1,25,1,< 1 Year,No,24371,152,214,0
25414,Female,67,1,28,0,1-2 Year,Yes,23926,13,178,0
62946,Male,54,1,39,0,1-2 Year,Yes,28881,163,14,0
21597,Male,21,1,35,1,< 1 Year,No,28138,152,196,0
42059,Male,33,1,28,0,1-2 Year,No,26907,124,204,0
62855,Male,21,1,3,0,< 1 Year,Yes,32724,152,244,1
25871,Female,25,1,37,0,< 1 Year,Yes,39055,152,55,1
1597,Male,61,1,41,1,1-2 Year,No,36745,136,25,0
42202,Male,24,1,32,1,< 1 Year,No,2630,160,256,0
15572,Male,64,0,28,0,1-2 Year,Yes,53413,125,52,0
21026,Male,23,1,37,1,< 1 Year,No,62928,152,175,0
64397,Female,30,1,18,0,< 1 Year,Yes,2630,152,52,0
26119,Female,27,1,28,1,< 1 Year,No,22271,152,260,0
57044,Female,26,1,28,0,< 1 Year,No,28837,152,168,0
20458,Female,24,1,45,0,< 1 Year,Yes,40420,152,218,1
63744,Male,48,1,28,1,1-2 Year,No,28275,26,108,0
50713,Female,26,1,10,1,< 1 Year,No,24569,152,180,0
63146,Male,23,1,46,1,< 1 Year,No,28053,152,189,0
22019,Male,32,1,28,1,1-2 Year,Yes,2630,156,43,0
50198,Female,62,1,45,1,1-2 Year,No,45657,124,49,0
55798,Male,39,1,4,1,1-2 Year,No,31169,26,225,0
54545,Male,52,1,28,0,1-2 Year,Yes,47758,26,136,0
39866,Male,31,1,40,0,< 1 Year,Yes,31215,26,38,1
40602,Female,53,1,28,0,> 2 Years,Yes,60456,157,222,0
39999,Male,43,1,31,0,1-2 Year,Yes,2630,124,106,1
17984,Female,25,1,45,1,< 1 Year,No,32473,152,224,0
37762,Female,39,1,35,0,1-2 Year,Yes,30345,26,154,1
40312,Female,34,1,28,0,1-2 Year,Yes,47344,26,83,1
62456,Female,22,1,8,1,< 1 Year,No,44787,152,169,0
52448,Female,21,1,15,1,< 1 Year,No,2630,152,253,0
52899,Male,25,1,8,1,< 1 Year,No,33121,152,128,0
50591,Male,65,1,28,0,1-2 Year,Yes,70501,122,19,0
29101,Female,59,1,41,0,1-2 Year,Yes,21703,26,110,0
16313,Male,49,1,33,1,1-2 Year,No,26865,124,182,0
64822,Male,64,1,47,1,1-2 Year,No,45961,26,267,0
886,Female,25,1,37,1,< 1 Year,No,35765,152,89,0
3763,Male,23,1,21,1,< 1 Year,No,17042,152,269,0
21344,Female,21,1,33,1,< 1 Year,No,39154,152,2814,0
44508,Male,45,1,28,1,1-2 Year,No,36908,124,244,0
1989,Male,52,1,28,0,1-2 Year,No,63870,124,21,0
63307,Female,50,1,46,0,1-2 Year,Yes,26275,26,161,1
44147,Female,42,1,28,0,1-2 Year,No,34695,24,70,0
47441,Male,55,1,28,1,1-2 Year,No,39682,26,171,0
10400,Female,35,1,36,0,1-2 Year,Yes,33381,152,179,0
54366,Female,26,1,29,1,< 1 Year,No,29613,152,287,0
2813,Female,28,1,30,0,1-2 Year,Yes,2630,156,108,1
63438,Male,42,1,46,0,1-2 Year,Yes,29107,124,224,0
28401,Female,64,1,28,0,1-2 Year,Yes,31260,26,295,0
49955,Female,28,1,36,1,< 1 Year,No,37886,152,50,0
6653,Female,24,1,8,0,< 1 Year,No,2630,160,294,0
12341,Female,22,1,36,1,< 1 Year,No,2630,160,13,0
42750,Male,23,1,47,0,< 1 Year,Yes,2630,152,53,1
57762,Male,23,1,24,1,< 1 Year,No,23982,152,31,0
1259,Male,52,1,28,1,1-2 Year,No,34940,26,251,0
58534,Male,30,1,43,1,< 1 Year,No,2630,160,46,0
31965,Male,40,1,6,0,1-2 Year,Yes,37078,26,42,0
63711,Male,20,1,8,0,< 1 Year,Yes,47246,160,65,0
41642,Male,53,1,28,0,1-2 Year,Yes,33236,124,297,0
49388,Male,53,1,35,0,1-2 Year,Yes,38811,26,258,1
35939,Female,24,1,28,1,< 1 Year,No,33741,153,145,0
47743,Male,24,1,10,1,< 1 Year,No,25940,152,54,0
33988,Male,22,1,28,1,< 1 Year,No,35392,152,96,0
25586,Male,57,1,25,0,1-2 Year,Yes,27579,26,212,0
47546,Male,49,1,29,1,1-2 Year,No,30478,26,172,0
34533,Male,47,1,28,0,1-2 Year,Yes,32496,26,29,1
35446,Male,48,1,43,0,1-2 Year,Yes,22091,4,58,0
56627,Male,47,1,50,0,1-2 Year,Yes,34794,8,123,0
11125,Male,58,1,8,0,1-2 Year,Yes,37787,124,94,0
65412,Male,61,1,8,0,1-2 Year,Yes,35460,26,236,0
59809,Male,46,1,31,0,1-2 Year,Yes,2630,26,249,0
49291,Female,47,1,33,1,1-2 Year,No,24706,26,257,0
33443,Female,59,1,8,0,1-2 Year,No,38163,124,162,0
10612,Female,21,1,11,1,< 1 Year,No,37647,152,151,0
22213,Female,24,1,21,1,< 1 Year,No,27840,152,111,0
10440,Female,64,1,24,0,1-2 Year,Yes,43521,26,290,0
50307,Male,77,1,33,0,> 2 Years,Yes,32278,124,228,0
39824,Male,29,1,41,0,1-2 Year,Yes,31824,163,199,1
49994,Female,31,1,41,1,< 1 Year,No,26121,152,199,0
44819,Female,22,1,8,0,< 1 Year,Yes,36322,152,259,0
29674,Male,40,1,3,1,1-2 Year,Yes,30302,157,71,0
8767,Male,42,1,11,0,1-2 Year,Yes,2630,26,197,0
48892,Male,20,1,29,0,1-2 Year,Yes,2630,156,291,0
1072,Male,52,1,11,0,1-2 Year,Yes,36911,26,263,0
53189,Male,28,1,30,1,< 1 Year,No,37336,152,135,0
11632,Female,25,1,8,1,< 1 Year,No,37575,152,170,0
657,Female,67,1,11,0,1-2 Year,No,43707,124,28,0
45590,Female,24,1,28,1,< 1 Year,No,55256,152,224,0
46768,Male,35,1,9,0,1-2 Year,Yes,23855,124,215,1
29538,Male,47,1,46,1,1-2 Year,No,75939,124,262,0
33572,Male,50,1,28,0,1-2 Year,Yes,44316,124,159,0
59851,Male,45,1,28,1,1-2 Year,No,68269,25,261,0
51764,Female,48,1,28,0,1-2 Year,Yes,38768,26,246,0
51373,Male,23,1,36,1,< 1 Year,No,34707,152,279,0
17644,Male,29,1,2,1,< 1 Year,No,28210,152,243,0
37281,Female,20,1,35,0,< 1 Year,Yes,23875,160,245,0
32676,Male,45,1,25,0,1-2 Year,Yes,26339,124,206,0
15725,Male,39,1,28,0,1-2 Year,Yes,38686,154,16,1
481,Male,40,1,28,0,1-2 Year,Yes,38279,26,176,1
40495,Female,48,1,28,0,1-2 Year,Yes,49065,26,148,0
1315,Male,31,1,14,0,1-2 Year,Yes,2630,156,251,0
38080,Female,58,1,50,0,1-2 Year,Yes,40124,8,70,0
7843,Male,43,1,8,0,1-2 Year,Yes,26674,124,102,0
12148,Male,27,1,28,1,< 1 Year,No,42758,152,274,0
53042,Male,22,1,28,0,< 1 Year,Yes,31463,152,77,0
1004,Female,23,1,21,0,< 1 Year,Yes,26189,160,170,0
53945,Female,23,1,46,1,< 1 Year,No,52213,152,162,0
57542,Female,44,1,28,0,1-2 Year,Yes,39668,26,297,1
4655,Female,22,1,45,1,< 1 Year,No,25763,152,150,0
52902,Female,32,1,9,0,1-2 Year,Yes,32316,26,52,0
24263,Male,65,1,48,1,1-2 Year,No,2630,15,1254,0
36351,Male,64,1,46,1,1-2 Year,No,34227,11,262,0
58177,Female,61,1,20,0,1-2 Year,Yes,2630,124,41,0
28538,Male,31,1,30,1,< 1 Year,No,27447,152,229,0
24298,Female,38,1,28,0,1-2 Year,Yes,41415,124,119,1
12071,Male,32,1,41,1,1-2 Year,No,24737,122,216,0
54353,Female,40,1,28,0,1-2 Year,Yes,45501,154,268,0
696,Female,49,1,46,0,1-2 Year,Yes,42823,124,24,1
51817,Female,24,1,16,0,< 1 Year,No,18362,152,86,0
9118,Male,47,1,28,0,1-2 Year,Yes,46753,26,55,0
2039,Female,31,1,41,1,< 1 Year,No,25669,152,66,0
2163,Male,43,1,24,0,1-2 Year,Yes,31614,124,295,0
39570,Male,59,1,45,1,1-2 Year,No,2630,26,45,0
61871,Male,28,1,41,0,< 1 Year,No,48684,152,245,0
574,Male,31,1,28,1,1-2 Year,No,2630,156,104,0
49003,Male,43,1,31,0,1-2 Year,No,2630,157,181,1
42473,Female,70,1,16,0,1-2 Year,Yes,36602,124,210,0
30803,Male,44,0,13,0,1-2 Year,No,23481,26,35,0
42665,Female,28,1,46,1,< 1 Year,No,35058,160,84,0
52994,Female,28,1,43,1,< 1 Year,No,37278,152,160,0
15368,Female,70,1,9,1,1-2 Year,No,32724,124,242,0
53811,Female,45,1,28,0,1-2 Year,Yes,37657,124,282,1
3758,Male,61,1,43,0,> 2 Years,Yes,2630,26,132,0
58901,Female,26,1,46,1,< 1 Year,No,26913,152,223,0
63397,Male,23,1,41,1,< 1 Year,No,16502,152,91,0
26594,Female,71,1,45,0,1-2 Year,Yes,21384,26,292,0
11837,Male,42,1,28,0,1-2 Year,Yes,33741,122,209,1
19794,Female,35,1,8,1,1-2 Year,No,35965,124,290,0
38906,Male,60,1,10,0,1-2 Year,Yes,21162,124,72,0
31720,Male,43,1,32,0,1-2 Year,Yes,36696,124,277,1
51411,Male,50,1,28,0,1-2 Year,Yes,29475,124,207,1
3430,Female,23,1,46,1,< 1 Year,No,37635,152,216,0
60521,Female,57,1,28,0,1-2 Year,Yes,55287,122,186,0
11320,Male,32,1,8,1,1-2 Year,No,24389,26,125,0
55869,Female,26,1,27,1,< 1 Year,No,38348,152,15,0
23044,Male,47,1,45,0,1-2 Year,Yes,32698,26,230,0
10210,Female,49,1,36,1,1-2 Year,No,30096,124,226,0
18063,Male,22,1,46,0,< 1 Year,Yes,18190,152,269,1
44091,Male,70,1,28,0,1-2 Year,Yes,36589,26,197,0
53135,Female,22,1,30,0,< 1 Year,Yes,32125,26,268,1
55977,Male,27,1,15,1,< 1 Year,No,33967,152,46,0
25884,Female,50,1,28,0,1-2 Year,Yes,54555,26,19,1
18249,Male,24,1,37,1,< 1 Year,No,44882,152,92,0
24609,Female,24,1,28,0,< 1 Year,Yes,50238,152,183,0
39040,Female,42,1,28,1,1-2 Year,No,44808,26,282,0
12012,Male,43,1,28,0,1-2 Year,Yes,40805,124,10,0
785,Male,70,1,4,0,1-2 Year,Yes,2630,26,161,0
42435,Female,23,1,18,1,< 1 Year,No,37383,152,156,0
34242,Male,26,1,41,1,< 1 Year,No,34885,152,294,0
60852,Female,22,1,8,1,< 1 Year,Yes,64374,152,293,0
25906,Female,49,1,36,1,1-2 Year,No,39556,124,126,0
11459,Male,28,1,28,0,< 1 Year,Yes,50099,152,182,1
25027,Male,38,1,50,0,1-2 Year,Yes,48278,8,135,0
59828,Female,29,1,8,1,< 1 Year,No,40559,152,284,0
34677,Female,53,1,3,1,1-2 Year,No,22174,26,56,0
14573,Male,57,1,39,1,1-2 Year,No,2630,26,91,0
10521,Male,27,1,8,1,< 1 Year,No,35037,152,11,0
17209,Male,46,1,46,0,1-2 Year,Yes,22396,124,186,0
43409,Female,48,1,28,0,1-2 Year,Yes,38954,26,170,1
40972,Female,25,1,29,1,< 1 Year,No,21620,152,103,0
10582,Male,63,1,28,0,> 2 Years,Yes,52227,124,295,1
24791,Male,20,1,33,0,< 1 Year,Yes,45631,160,77,0
56940,Male,41,1,29,0,1-2 Year,Yes,24220,26,85,1
24103,Female,44,1,28,0,1-2 Year,Yes,44212,26,98,1
962,Male,49,1,21,0,1-2 Year,Yes,22543,124,64,0
5682,Male,26,1,3,1,< 1 Year,No,26580,152,187,0
41875,Male,30,1,15,1,< 1 Year,No,42347,152,263,0
13043,Male,21,1,46,1,< 1 Year,No,30429,160,123,0
19513,Female,24,1,36,1,< 1 Year,No,38535,152,30,0
61302,Male,44,1,25,1,1-2 Year,No,22651,152,222,0
55530,Female,44,1,28,0,1-2 Year,Yes,39288,124,119,0
11274,Female,42,1,46,1,1-2 Year,No,43574,124,27,0
20035,Male,58,1,43,1,1-2 Year,No,25923,25,30,0
17055,Female,44,1,46,0,1-2 Year,Yes,33199,11,38,1
53119,Male,24,1,45,0,< 1 Year,Yes,46956,124,232,1
5525,Male,54,1,46,1,1-2 Year,Yes,24492,26,220,0
64515,Male,44,1,28,0,1-2 Year,Yes,34108,124,65,0
50652,Female,35,1,30,1,1-2 Year,No,29439,152,225,0
60121,Female,34,1,30,0,1-2 Year,No,2630,157,210,0
16594,Male,48,1,7,0,1-2 Year,Yes,2630,163,13,0
1322,Male,21,1,16,0,< 1 Year,Yes,39635,160,205,0
47939,Male,48,1,28,0,1-2 Year,No,38932,26,259,0
41814,Male,60,1,28,0,> 2 Years,Yes,39246,124,52,1
37129,Male,40,1,36,1,1-2 Year,No,28297,156,204,0
33628,Female,37,1,28,0,> 2 Years,Yes,40757,124,107,0
3495,Female,22,1,14,1,< 1 Year,No,38543,152,155,0
27571,Female,31,1,28,0,1-2 Year,Yes,46553,124,17,0
45639,Female,68,1,28,0,1-2 Year,No,43486,26,292,0
3183,Male,49,1,29,0,1-2 Year,Yes,26483,124,26,0
18619,Male,42,1,41,1,1-2 Year,No,37004,26,139,0
23602,Male,38,1,38,1,1-2 Year,No,32206,26,192,0
17514,Male,53,1,28,0,1-2 Year,Yes,44056,26,158,0
64107,Male,41,1,28,0,1-2 Year,Yes,29204,122,117,0
9506,Female,28,1,8,1,< 1 Year,No,32889,152,72,0
42526,Male,25,1,30,0,1-2 Year,Yes,25467,124,40,1
24100,Female,23,1,8,1,< 1 Year,No,40633,152,176,0
24448,Male,43,1,12,0,1-2 Year,No,25870,26,246,0
10327,Male,35,1,36,0,1-2 Year,Yes,33642,152,196,0
15104,Male,75,1,48,1,1-2 Year,No,2630,124,262,0
56941,Female,56,1,2,0,1-2 Year,Yes,36898,157,42,0
47374,Male,47,1,28,0,1-2 Year,Yes,38942,124,298,1
2412,Female,51,1,28,0,1-2 Year,Yes,41071,124,99,0
29440,Female,27,1,8,1,< 1 Year,No,42230,152,272,0
42392,Female,36,1,28,0,1-2 Year,Yes,2630,124,92,1
23192,Female,49,1,28,0,> 2 Years,Yes,50245,26,114,0
5508,Male,52,1,28,0,1-2 Year,Yes,39653,48,18,0
38309,Male,30,1,28,1,< 1 Year,No,32039,152,14,0
51563,Female,46,1,29,0,1-2 Year,Yes,44993,124,75,0
31994,Female,41,1,28,0,1-2 Year,Yes,38333,13,185,1
64367,Male,55,1,29,1,1-2 Year,No,33643,26,190,0
13361,Female,24,1,37,1,< 1 Year,No,22131,151,48,0
29253,Female,26,1,18,1,< 1 Year,No,37200,152,256,0
39666,Female,33,1,28,0,< 1 Year,Yes,30557,124,223,1
55121,Female,22,1,25,1,< 1 Year,No,20774,152,155,0
23508,Female,33,1,28,0,1-2 Year,Yes,25675,157,102,1
30508,Female,25,1,46,1,< 1 Year,No,21319,152,292,0
26012,Male,36,1,29,0,1-2 Year,Yes,2630,155,252,0
22174,Female,49,1,28,0,< 1 Year,Yes,2630,26,295,0
44156,Male,57,1,11,0,1-2 Year,Yes,2630,124,139,0
30392,Male,41,1,48,0,1-2 Year,Yes,2630,124,279,0
21055,Male,55,1,23,0,1-2 Year,Yes,24741,154,52,0
51272,Male,53,1,47,0,1-2 Year,No,49247,26,241,0
44464,Female,25,1,28,1,< 1 Year,No,28586,152,285,0
56924,Male,35,1,28,1,1-2 Year,No,36401,152,87,0
25688,Female,22,1,47,1,< 1 Year,No,28352,152,124,0
17833,Male,76,1,46,1,1-2 Year,Yes,42539,26,140,0
35840,Female,63,1,8,0,1-2 Year,Yes,39185,4,86,0
65479,Male,48,1,37,0,1-2 Year,Yes,32350,124,51,0
48055,Female,74,1,28,0,1-2 Year,Yes,87470,26,223,1
9346,Female,22,1,36,0,< 1 Year,Yes,27759,152,176,0
55169,Male,29,1,33,0,1-2 Year,Yes,36213,156,60,0
21911,Female,22,1,25,0,< 1 Year,Yes,19888,152,297,0
1148,Male,50,1,46,0,> 2 Years,Yes,29927,124,194,0
15756,Male,39,1,6,0,1-2 Year,Yes,2630,157,289,1
63059,Male,21,1,28,0,1-2 Year,Yes,2630,158,133,1
30646,Female,24,1,36,1,< 1 Year,No,35336,152,86,0
30695,Female,48,1,15,0,1-2 Year,Yes,34041,86,299,0
686,Male,37,1,27,1,1-2 Year,No,34545,124,299,0
51865,Male,43,1,28,0,1-2 Year,Yes,48941,3,40,0
52900,Male,23,1,21,0,< 1 Year,Yes,32670,152,96,0
39446,Female,23,1,28,1,< 1 Year,No,34831,160,602,0
39128,Female,22,1,46,1,< 1 Year,No,24825,152,269,0
63911,Male,57,1,28,1,1-2 Year,Yes,47565,124,72,0
36022,Male,24,1,15,0,< 1 Year,No,2630,152,170,0
57919,Male,38,1,28,0,1-2 Year,Yes,40409,124,62,0
63423,Male,46,1,28,0,> 2 Years,Yes,44302,33,63,0
23361,Male,64,1,8,0,1-2 Year,Yes,40066,124,110,0
32628,Male,60,1,28,0,> 2 Years,Yes,59569,26,247,0
51518,Female,21,1,45,0,< 1 Year,Yes,21869,152,230,0
46750,Female,39,1,37,0,1-2 Year,Yes,35116,152,140,0
11518,Female,44,1,28,0,1-2 Year,Yes,35326,26,14,0
53700,Male,69,1,46,0,1-2 Year,Yes,30587,26,206,1
14731,Female,28,1,28,1,< 1 Year,No,36461,152,237,0
29448,Female,45,1,35,1,1-2 Year,No,2630,152,127,0
6977,Female,23,1,39,0,< 1 Year,Yes,22173,151,40,0
37369,Female,66,1,15,1,1-2 Year,No,47011,14,206,0
19231,Male,67,1,28,0,> 2 Years,Yes,2630,26,274,0
9913,Female,21,1,9,0,< 1 Year,Yes,25170,160,182,0
64319,Male,30,1,46,1,< 1 Year,No,26510,152,40,0
14069,Male,23,1,36,1,< 1 Year,Yes,53575,160,180,0
40827,Male,28,1,28,1,< 1 Year,No,29638,152,44,0
5280,Male,23,1,15,1,< 1 Year,No,2630,152,145,0
6233,Female,58,1,30,1,1-2 Year,Yes,2630,160,35,0
57277,Female,30,1,28,0,1-2 Year,Yes,22109,157,107,0
16598,Male,50,1,2,0,1-2 Year,Yes,28752,30,164,0
63813,Male,25,1,21,1,< 1 Year,No,31401,152,39,0
31586,Female,24,1,8,1,< 1 Year,No,55655,152,125,0
54427,Female,29,1,30,1,< 1 Year,No,27517,152,55,0
32921,Male,37,1,48,1,1-2 Year,No,2630,103,256,0
49175,Female,51,1,46,0,1-2 Year,Yes,29097,124,70,0
27929,Male,36,1,8,0,1-2 Year,Yes,2630,26,161,1
30297,Male,50,1,3,0,1-2 Year,No,2630,124,36,0
4671,Male,47,1,41,0,1-2 Year,Yes,39029,124,274,0
29884,Female,48,1,20,1,1-2 Year,No,2630,124,196,0
28652,Female,41,1,28,0,1-2 Year,Yes,27666,26,269,0
10715,Female,46,1,32,0,1-2 Year,Yes,26082,124,163,1
23503,Male,59,1,28,1,1-2 Year,No,48276,124,54,0
1037,Female,70,1,28,0,1-2 Year,Yes,33485,13,215,0
56596,Female,26,1,14,1,< 1 Year,No,24042,152,240,0
28109,Female,39,1,28,0,1-2 Year,Yes,49537,124,158,0
49413,Female,47,1,11,1,1-2 Year,No,36684,152,79,0
26259,Male,20,1,7,0,< 1 Year,Yes,36763,160,27,1
36250,Female,32,1,28,1,< 1 Year,No,2630,151,290,0
59817,Male,23,1,50,1,< 1 Year,No,19980,152,253,0
14854,Female,35,1,15,0,1-2 Year,Yes,58304,14,159,0
60134,Male,62,1,8,0,1-2 Year,Yes,30883,26,173,0
61281,Female,25,1,28,0,1-2 Year,Yes,2630,26,275,0
50847,Female,77,1,50,0,1-2 Year,Yes,26973,8,112,0
58104,Male,39,1,28,0,1-2 Year,Yes,36676,13,284,1
12004,Male,62,1,46,1,1-2 Year,No,41523,124,291,0
39571,Male,60,1,8,1,1-2 Year,No,36955,25,268,1
38865,Male,21,1,15,1,< 1 Year,Yes,2630,160,143,0
27422,Male,46,1,36,1,1-2 Year,No,37565,26,18,0
63921,Female,23,1,29,0,< 1 Year,Yes,39475,152,271,0
32942,Female,48,1,28,0,1-2 Year,Yes,49196,26,187,1
8722,Female,31,1,28,1,< 1 Year,No,45478,152,239,0
43336,Male,26,1,2,0,< 1 Year,Yes,26675,124,238,1
25179,Male,46,1,28,0,1-2 Year,Yes,41046,122,265,1
39548,Male,39,1,6,0,< 1 Year,No,2630,1,297,0
40622,Male,29,1,15,0,< 1 Year,No,35293,152,82,0
5221,Male,21,1,2,0,< 1 Year,Yes,29691,163,208,0
5063,Male,40,1,28,0,1-2 Year,Yes,29817,124,212,0
1732,Female,25,1,14,0,< 1 Year,Yes,31716,152,171,1
38517,Male,49,1,28,0,> 2 Years,Yes,34386,124,13,0
31593,Male,47,1,43,0,1-2 Year,Yes,48194,26,72,0
16121,Female,76,1,28,1,1-2 Year,No,76807,26,66,0
53246,Female,31,1,28,1,< 1 Year,No,51079,152,42,0
1178,Male,44,1,35,0,1-2 Year,Yes,25636,124,124,1
38198,Female,45,1,28,0,1-2 Year,Yes,38336,124,106,0
17746,Male,24,1,28,0,< 1 Year,Yes,51939,153,153,0
11521,Female,21,1,46,1,< 1 Year,No,28819,160,110,0
40358,Female,51,1,43,0,1-2 Year,Yes,20102,25,66,1
20610,Male,47,1,28,1,1-2 Year,No,54138,26,210,0
17804,Female,32,1,2,0,< 1 Year,Yes,2630,160,166,0
23302,Female,25,1,8,1,< 1 Year,No,2630,152,102,0
31763,Male,70,1,22,0,1-2 Year,Yes,36768,26,186,0
38903,Female,22,1,15,1,< 1 Year,No,29921,152,13,0
2972,Male,45,1,39,0,1-2 Year,Yes,28138,42,83,1
62017,Male,43,1,28,0,1-2 Year,Yes,42536,125,213,1
9781,Female,24,1,41,1,< 1 Year,No,50293,152,29,0
43450,Female,45,1,28,1,1-2 Year,No,35786,26,278,0
35920,Female,40,1,45,1,1-2 Year,No,32585,26,106,0
735,Female,29,1,28,1,< 1 Year,No,46426,152,83,0
2677,Male,41,1,28,0,1-2 Year,Yes,37322,124,218,0
21309,Male,26,1,3,1,< 1 Year,No,2630,160,163,0
32705,Male,20,1,39,1,< 1 Year,No,28187,160,244,0
27073,Male,65,1,26,0,> 2 Years,Yes,2630,154,163,0
6916,Female,22,1,36,1,< 1 Year,No,42018,152,163,0
61388,Female,21,1,11,1,< 1 Year,No,36329,152,281,0
59608,Female,27,1,28,0,< 1 Year,Yes,44728,26,89,0
8504,Female,68,1,28,0,1-2 Year,Yes,32770,26,63,0
15983,Male,33,1,28,0,1-2 Year,No,43124,61,12,0
48799,Female,23,1,3,1,< 1 Year,No,37830,152,66,0
64186,Female,22,1,29,1,< 1 Year,No,30422,152,279,0
40509,Male,55,1,28,0,1-2 Year,No,32517,154,504,0
59180,Male,22,1,10,1,< 1 Year,No,27246,152,200,0
41486,Female,28,1,8,0,< 1 Year,No,2630,152,55,0
9050,Male,38,1,45,1,1-2 Year,No,23519,154,256,0
39715,Male,55,1,28,0,> 2 Years,Yes,56325,42,26,0
8114,Male,35,1,45,0,1-2 Year,Yes,23519,124,235,1
30567,Female,27,1,28,1,< 1 Year,No,26368,152,286,0
59219,Female,26,1,47,0,< 1 Year,Yes,26485,152,19,0
7772,Male,53,1,50,1,1-2 Year,No,23032,152,161,0
12437,Male,38,1,28,0,1-2 Year,Yes,38559,26,271,0
29103,Male,47,1,35,0,1-2 Year,Yes,32524,124,257,1
24817,Female,22,1,29,0,< 1 Year,Yes,40840,152,74,0
53232,Male,58,1,37,0,1-2 Year,Yes,26311,4,157,0
38939,Male,58,1,28,0,1-2 Year,Yes,33505,3,282,0
33886,Male,22,1,5,1,< 1 Year,No,33053,152,90,0
994,Female,21,1,13,0,< 1 Year,Yes,30935,152,289,0
